nodeName	altName	nodeAttr[nodesPresent, ]
Q99828	NA	turquoise
Q99832	NA	blue
Q9BUL8	NA	turquoise
Q9BV40	NA	turquoise
Q9BVC6	NA	blue
Q9BX10	NA	turquoise
Q9BX67	NA	blue
Q9BZQ8	NA	blue
Q9C0C9	NA	blue
Q9C0H2	NA	turquoise
Q9H0E2	NA	turquoise
Q9H223	NA	turquoise
Q9H2K8	NA	blue
Q9H3U5	NA	turquoise
Q9H479	NA	blue
Q9H4G4	NA	turquoise
Q9H4M9	NA	turquoise
Q9H7M9	NA	turquoise
Q9H8W4	NA	blue
Q9HAV0	NA	turquoise
Q9HBH0	NA	blue
Q9HBI1	NA	blue
Q9HC38	NA	blue
Q9HC84	NA	turquoise
Q9HCY8	NA	turquoise
Q9HD42	NA	turquoise
Q9NP58	NA	turquoise
Q9NP59	NA	turquoise
Q9NP79	NA	turquoise
Q9NQ34	NA	turquoise
Q9NQC3	NA	turquoise
Q9NQW7	NA	blue
Q9NR34	NA	turquoise
Q9NRW1	NA	blue
Q9NS28	NA	blue
Q9NSB2	NA	turquoise
Q9NTK5	NA	blue
Q9NUQ9	NA	blue
Q9NV96	NA	blue
Q9NVA2	NA	turquoise
Q9NVJ2	NA	turquoise
Q9NW13	NA	turquoise
Q9NX76	NA	turquoise
Q9NY33	NA	blue
Q9NZN3	NA	turquoise
Q9NZT1	NA	blue
Q9P0T7	NA	blue
Q9P126	NA	turquoise
Q9P1Z2	NA	turquoise
Q9P2R3	NA	blue
Q9UBQ7	NA	blue
Q9UBV8	NA	turquoise
Q9UDY2	NA	blue
Q9UEU0	NA	turquoise
Q9UHG3	NA	turquoise
Q9UIB8	NA	turquoise
Q9UIQ6	NA	turquoise
Q9UJU6	NA	blue
Q9UKE5	NA	blue
Q9UL25	NA	turquoise
Q9UL54	NA	turquoise
Q9ULI3	NA	turquoise
Q9UNF0	NA	turquoise
Q9UNS2	NA	turquoise
Q9Y210	NA	blue
Q9Y251	NA	turquoise
Q9Y257	NA	turquoise
Q9Y2A7	NA	turquoise
Q9Y2G3	NA	blue
Q9Y2Q0	NA	blue
Q9Y2X9	NA	blue
Q9Y3P8	NA	turquoise
Q9Y490	NA	blue
Q9Y4D1	NA	turquoise
Q9Y613	NA	turquoise
Q9Y624	NA	turquoise
Q9Y696	NA	blue
Q9Y6C2	NA	turquoise
Q9Y6E0	NA	turquoise
Q9Y6R7	NA	blue
Q9Y6W5	NA	turquoise
