fromNode	toNode	weight	direction	fromAltName	toAltName
A0M8Q6	P13224	0.230030185077185	undirected	NA	NA
A0M8Q6	P13473	0.465877435872284	undirected	NA	NA
A0M8Q6	P13598	0.347981290982246	undirected	NA	NA
A0M8Q6	P13647	0.343943821676111	undirected	NA	NA
A0M8Q6	P13716	0.146456399455657	undirected	NA	NA
A0M8Q6	P14174	0.367454626960712	undirected	NA	NA
A0M8Q6	P14324	0.218641668843339	undirected	NA	NA
A0M8Q6	P14618	0.0414486923446015	undirected	NA	NA
A0M8Q6	P14770	0.166097143371317	undirected	NA	NA
A0M8Q6	P14780	0.387963198286055	undirected	NA	NA
A0M8Q6	P14868	0.393906682631823	undirected	NA	NA
A0M8Q6	P15169	0.420017328472115	undirected	NA	NA
A0M8Q6	P15170	0.324008358562283	undirected	NA	NA
A0M8Q6	P16109	0.473972240626357	undirected	NA	NA
A0M8Q6	P16284	0.414762353539737	undirected	NA	NA
A0M8Q6	P16615	0.48193513160771	undirected	NA	NA
A0M8Q6	P16671	0.283340861509173	undirected	NA	NA
A0M8Q6	P16930	0.0919646083170186	undirected	NA	NA
A0M8Q6	P17252	0.403873047544556	undirected	NA	NA
A0M8Q6	P17858	0.208866374749062	undirected	NA	NA
A0M8Q6	P18031	0.211748303104622	undirected	NA	NA
A0M8Q6	P18054	0.483769812024025	undirected	NA	NA
A0M8Q6	P18206	0.481203331733359	undirected	NA	NA
A0M8Q6	P18669	0.0698697700863103	undirected	NA	NA
A0M8Q6	P20339	0.422911167741674	undirected	NA	NA
A0M8Q6	P20618	0.232408377908433	undirected	NA	NA
A0M8Q6	P20742	0.492772581719509	undirected	NA	NA
A0M8Q6	P21333	0.0759582544765952	undirected	NA	NA
A0M8Q6	P21399	0.217217892421466	undirected	NA	NA
A0M8Q6	P22105	0.13848635154974	undirected	NA	NA
A0M8Q6	P22314	0.103845503559085	undirected	NA	NA
A0M8Q6	P22392	0.431603051211434	undirected	NA	NA
A0M8Q6	P22694	0.212324282430074	undirected	NA	NA
A0M8Q6	P23219	0.478158959439014	undirected	NA	NA
A0M8Q6	P23229	0.385901714818836	undirected	NA	NA
A0M8Q6	P23528	0.166360571151078	undirected	NA	NA
A0M8Q6	P23634	0.392089121301853	undirected	NA	NA
A0M8Q6	P25705	0.354926750300962	undirected	NA	NA
A0M8Q6	P25786	0.358981457959201	undirected	NA	NA
A0M8Q6	P26639	0.383267153674701	undirected	NA	NA
A0M8Q6	P26641	0.280278425713311	undirected	NA	NA
A0M8Q6	P28062	0.290780570412462	undirected	NA	NA
A0M8Q6	P28065	0.295149646032454	undirected	NA	NA
A0M8Q6	P28066	0.398168997905313	undirected	NA	NA
A0M8Q6	P28070	0.392038058037176	undirected	NA	NA
A0M8Q6	P28482	0.0766207688677119	undirected	NA	NA
A0M8Q6	P28838	0.310566185736452	undirected	NA	NA
A0M8Q6	P29144	0.16929627061363	undirected	NA	NA
A0M8Q6	P29218	0.165735429987486	undirected	NA	NA
A0M8Q6	P29350	0.209646055988218	undirected	NA	NA
A0M8Q6	P29375	0.200829787039051	undirected	NA	NA
A0M8Q6	P30085	0.100763167858652	undirected	NA	NA
A0M8Q6	P30153	0.204178851303986	undirected	NA	NA
A0M8Q6	P30273	0.36829460131146	undirected	NA	NA
A0M8Q6	P30740	0.027301796904006	undirected	NA	NA
A0M8Q6	P31321	0.0645960342825656	undirected	NA	NA
A0M8Q6	P31323	0.0881278108125976	undirected	NA	NA
A0M8Q6	P31641	0.270286900720707	undirected	NA	NA
A0M8Q6	P31939	0.0658026311151629	undirected	NA	NA
A0M8Q6	P31946	0.311875671052135	undirected	NA	NA
A0M8Q6	P31948	0.171197911535724	undirected	NA	NA
A0M8Q6	P33527	0.161856940147047	undirected	NA	NA
A0M8Q6	P33993	0.469634812600124	undirected	NA	NA
A0M8Q6	P34932	0.0655296551520411	undirected	NA	NA
A0M8Q6	P35030	0.0737533091381329	undirected	NA	NA
A0M8Q6	P35237	0.192057462145405	undirected	NA	NA
A0M8Q6	P35527	0.223841442822785	undirected	NA	NA
A0M8Q6	P35556	0.397330469245251	undirected	NA	NA
A0M8Q6	P35813	0.048599669783525	undirected	NA	NA
A0M8Q6	P36871	0.146594672330881	undirected	NA	NA
A0M8Q6	P36955	0.394128876219721	undirected	NA	NA
A0M8Q6	P36959	0.150124309489933	undirected	NA	NA
A0M8Q6	P36969	0.396411275922059	undirected	NA	NA
A0M8Q6	P37802	0.471573217610363	undirected	NA	NA
A0M8Q6	P37837	0.246875757053137	undirected	NA	NA
A0M8Q6	P40925	0.170517649340159	undirected	NA	NA
A0M8Q6	P41240	0.166787496490465	undirected	NA	NA
A0M8Q6	P41250	0.0568648027319212	undirected	NA	NA
A0M8Q6	P43652	0.232951417276581	undirected	NA	NA
A0M8Q6	P45974	0.0669419384728909	undirected	NA	NA
A0M8Q6	P46940	0.449438073045834	undirected	NA	NA
A0M8Q6	P47755	0.142178717673669	undirected	NA	NA
A0M8Q6	P48637	0.0610103226981973	undirected	NA	NA
A0M8Q6	P48643	0.0666701056665665	undirected	NA	NA
A0M8Q6	P48735	0.195529133731994	undirected	NA	NA
A0M8Q6	P49327	0.0739958832614669	undirected	NA	NA
A0M8Q6	P49368	0.108923319990534	undirected	NA	NA
A0M8Q6	P49588	0.0928635542875712	undirected	NA	NA
A0M8Q6	P49747	0.407674501581673	undirected	NA	NA
A0M8Q6	P50148	0.260151514790993	undirected	NA	NA
A0M8Q6	P50225	0.40858252093971	undirected	NA	NA
A0M8Q6	P50453	0.0699605350063888	undirected	NA	NA
A0M8Q6	P50502	0.408382584274415	undirected	NA	NA
A0M8Q6	P50851	0.0960974969590394	undirected	NA	NA
A0M8Q6	P50990	0.103723041779838	undirected	NA	NA
A0M8Q6	P50991	0.16882805659312	undirected	NA	NA
A0M8Q6	P51153	0.413053193917141	undirected	NA	NA
A0M8Q6	P51452	0.18420916330298	undirected	NA	NA
A0M8Q6	P51575	0.43832927706387	undirected	NA	NA
A0M8Q6	P51809	0.427436851823748	undirected	NA	NA
A0M8Q6	P52209	0.072902439628485	undirected	NA	NA
A0M8Q6	P52272	0.368468988386395	undirected	NA	NA
A0M8Q6	P52306	0.104488034282265	undirected	NA	NA
A0M8Q6	P52907	0.22952093899565	undirected	NA	NA
A0M8Q6	P53814	0.0466685010117434	undirected	NA	NA
A0M8Q6	P54577	0.0762669236881574	undirected	NA	NA
A0M8Q6	P54578	0.160665107129871	undirected	NA	NA
A0M8Q6	P54709	0.118529263206966	undirected	NA	NA
A0M8Q6	P55072	0.225122364193343	undirected	NA	NA
A0M8Q6	P55160	0.280740134608891	undirected	NA	NA
A0M8Q6	P60660	0.306886306418786	undirected	NA	NA
A0M8Q6	P60709	0.331405350012277	undirected	NA	NA
A0M8Q6	P60900	0.283366310407212	undirected	NA	NA
A0M8Q6	P60953	0.117328282785887	undirected	NA	NA
A0M8Q6	P61006	0.41686870002664	undirected	NA	NA
A0M8Q6	P61020	0.486778244047416	undirected	NA	NA
A0M8Q6	P61026	0.420616315568994	undirected	NA	NA
A0M8Q6	P61077	0.111018300528067	undirected	NA	NA
A0M8Q6	P61225	0.229258408547312	undirected	NA	NA
A0M8Q6	P61586	0.465180846472106	undirected	NA	NA
A0M8Q6	P61952	0.449911425742877	undirected	NA	NA
A0M8Q6	P61978	0.372501680468022	undirected	NA	NA
A0M8Q6	P61981	0.387182173393798	undirected	NA	NA
A0M8Q6	P62140	0.235481790249878	undirected	NA	NA
A0M8Q6	P62328	0.15232284282798	undirected	NA	NA
A0M8Q6	P62491	0.401676560607076	undirected	NA	NA
A0M8Q6	P62495	0.0624367056462635	undirected	NA	NA
A0M8Q6	P62873	0.470127982122753	undirected	NA	NA
A0M8Q6	P62937	0.0380671218703519	undirected	NA	NA
A0M8Q6	P63104	0.419236765074053	undirected	NA	NA
A0M8Q6	P63218	0.413586697503101	undirected	NA	NA
A0M8Q6	P68133	0.436258963606927	undirected	NA	NA
A0M8Q6	P78417	0.028661041018189	undirected	NA	NA
A0M8Q6	Q00013	0.192490224382469	undirected	NA	NA
A0M8Q6	Q00610	0.403869110618132	undirected	NA	NA
A0M8Q6	Q00722	0.495129209407087	undirected	NA	NA
A0M8Q6	Q01082	0.160382181496964	undirected	NA	NA
A0M8Q6	Q01433	0.318689138099974	undirected	NA	NA
A0M8Q6	Q01813	0.476567361475315	undirected	NA	NA
A0M8Q6	Q02413	0.350234676242334	undirected	NA	NA
A0M8Q6	Q04917	0.361222635426588	undirected	NA	NA
A0M8Q6	Q05209	0.0581694155281313	undirected	NA	NA
A0M8Q6	Q05655	0.409529199705392	undirected	NA	NA
A0M8Q6	Q05682	0.485719330082358	undirected	NA	NA
A0M8Q6	Q06323	0.210207117562307	undirected	NA	NA
A0M8Q6	Q07812	0.439096229159628	undirected	NA	NA
A0M8Q6	Q07960	0.0337521306227885	undirected	NA	NA
A0M8Q6	Q08209	0.463805013911928	undirected	NA	NA
A0M8Q6	Q08431	0.318971513236075	undirected	NA	NA
A0M8Q6	Q0ZGT2	0.172559452267354	undirected	NA	NA
A0M8Q6	Q12846	0.435909355403741	undirected	NA	NA
A0M8Q6	Q12913	0.457272264605449	undirected	NA	NA
A0M8Q6	Q13162	0.203392088787998	undirected	NA	NA
A0M8Q6	Q13200	0.241490193456426	undirected	NA	NA
A0M8Q6	Q13423	0.249371547125623	undirected	NA	NA
A0M8Q6	Q13464	0.358815289491421	undirected	NA	NA
A0M8Q6	Q13561	0.065129523972259	undirected	NA	NA
A0M8Q6	Q13617	0.129241497363983	undirected	NA	NA
A0M8Q6	Q13884	0.488703435522463	undirected	NA	NA
A0M8Q6	Q14008	0.102753064679734	undirected	NA	NA
A0M8Q6	Q14012	0.243569745246601	undirected	NA	NA
A0M8Q6	Q14019	0.191299466089179	undirected	NA	NA
A0M8Q6	Q14165	0.490557800477146	undirected	NA	NA
A0M8Q6	Q14203	0.223829650558792	undirected	NA	NA
A0M8Q6	Q14240	0.101461040486197	undirected	NA	NA
A0M8Q6	Q14392	0.184787879172576	undirected	NA	NA
A0M8Q6	Q14432	0.0787666444927144	undirected	NA	NA
A0M8Q6	Q14554	0.378266098079587	undirected	NA	NA
A0M8Q6	Q14642	0.325908991371993	undirected	NA	NA
A0M8Q6	Q14644	0.364414327600412	undirected	NA	NA
A0M8Q6	Q14697	0.052639050221654	undirected	NA	NA
A0M8Q6	Q14699	0.236992980459556	undirected	NA	NA
